Ward,Tory.Total,Kees.Total,Goldy.Total,Other.Total,Num.Trips,Station,Latitude,Longitude,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.588922171162555,Fort York Blvd / Garrison Rd,43.6374334,-79.4061926,1,1.0188563474004,0.791787654440097
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,2.30913379957345,Simcoe St / Queen St W,43.650858,-79.387582,0,2.21112871095186,3.11624049595973
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,1.94266181964021,Front St / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,0,1.86396265151034,2.76305713459541
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,1.35923398101038,Simcoe St / Dundas St W,43.653743,-79.38882,0,1.33277241289766,2.2097325832144
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.773084531149232,Wellington St W / Stafford St,43.6410063,-79.4102226,1,1.16660898470449,0.785681130064106
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.65886310767661,King St W / Douro St,43.641106,-79.4166062,1,1.07364484075111,0.784398227487226
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.394847651961304,Queen St W / Ossington Ave,43.644171,-79.4188508,1,0.87817213890225,0.8429027994316
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,1.80259467260809,University Ave / King St W,43.648093,-79.384749,0,1.73337512690984,2.62903001549023
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.247647455774771,Wellington St W / Portland St,43.6431913,-79.3995549,0,0.786765127457142,0.90779781139209
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.144449835540788,Beverly St / College St W,43.6587134,-79.3958657,0,0.341279290135243,1.56535979140678
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.837467247542964,Ossington Ave / College St W,43.6543876,-79.4226798,0,1.03353363432528,1.46652425863469
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.37493069653015,Euclid Ave / Bloor St W,43.664332,-79.4148618,0,0.571301077513764,1.49802752493878
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,2.49153605652203,Bay St / Bloor St W,43.669429,-79.389326,0,2.29601396019554,3.51643947737417
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.220504814187197,Augusta Ave / Denison Sq,43.6538727,-79.4017521,0,0.417126775709289,1.53965656579698
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,0.586178199275568,Bay St / College St (East Side),43.660909,-79.390166,0,0.391479055993967,1.95100671650711
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,0.284088935736055,Huron St / Harbord St,43.6637,-79.400053,0,0.092681577278121,1.76529882019055
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.692582976406565,80 Clinton St (North of College),43.6562963,-79.4146634,0,0.888710597150033,1.4607959784674
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.684153009224076,Summerhill Station,43.6822899,-79.3907744,0,0.880284832961331,1.46090439882549
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,2.18953942998452,Bay St / Wellesley St W,43.664088,-79.387095,0,1.99404283656679,3.24415772797763
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.781236587325704,Davenport Rd / Bedford Rd,43.6743644,-79.3998092,0,0.97732462473217,1.46260054902921
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.744459697529572,Ossington Ave / Harrison St,43.650949,-79.4213583,0,0.940563244787638,1.46119951848035
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.574563435851723,Bathurst St / Lennox St,43.6638315,-79.4106835,0,0.770757919903174,1.46672881491377
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.428289609685243,College St W / Markham St,43.6570289,-79.4092728,0,0.624601961923029,1.4871043095485
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.374096963512101,Hayter St / Laplante Ave,43.6590542,-79.3859663,0,0.57046832053669,1.49821265077154
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.659141018682626,Bathurst Subway Station,43.6660011,-79.4112152,0,0.855285704727393,1.46151222685562
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.80773076989924,Marlborough Ave / Yonge St,43.679879,-79.3907295,0,1.00380835341531,1.46418157895081
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.737048737369142,Palmerston Ave / Vermont Ave,43.6715996,-79.4163406,0,0.933155576863941,1.46102910680699
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,0.699565889730142,University Ave / Gerrard St W,43.657763,-79.389165,0,0.504643922299045,2.02794974123411
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.71509376789387,Bay St / Davenport Rd,43.6730853,-79.3906658,0,0.911210639790132,1.46074484572308
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.774103538171291,Davenport Rd / Avenue Rd,43.6746978,-79.3965732,0,0.97019447637074,1.46225661562581
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.507864794407856,Yonge St / Yorkville Ave,43.6719226,-79.3874532,0,0.704106934151349,1.47425563844847
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,2.26911461470713,College Park South,43.659777,-79.382767,0,2.0736106723243,3.31540381802348
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.477201946744078,College St W / Borden St,43.6549406,-79.4168398,0,0.673469189201879,1.47871281667026
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.630886733070988,Kendal Ave / Spadina Rd,43.6703049,-79.4052872,0,0.827046930307021,1.46271308789907
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,0.968861654559753,Bloor St / Brunswick Ave,43.665876,-79.407224,0,0.773672001139314,2.22322946141963
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.709350273769537,Ulster St / Bathurst St,43.6598108,-79.409058,0,0.905469836740862,1.46072492830743
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.777623744247495,Essex St / Christie St,43.6683553,-79.4202547,0,0.97371328113758,1.46242201255401
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.636908138201337,Spadina Ave / Willcocks St,43.6612715,-79.4014858,0,0.833064920177058,1.46241147979098
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.837467247542964,Ossington Ave / College St W,43.6543876,-79.4226798,0,1.03353363432528,1.46652425863469
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.307398322068235,St George St / Hoskin Ave,43.66408,-79.398439,0,0.503859770341419,1.5144368887348
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,1.024814403771,University Ave / College St,43.659226,-79.390213,0,0.829590907370327,2.26570856699877
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.758633158836394,Roxton Rd / Harbord St,43.6587949,-79.4230682,0,0.954730569906858,1.46163003172447
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,0.946906685084481,Church St / Bloor St E,43.671389,-79.382919,0,0.751731693472835,2.20672555044656
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.516480035594356,College St W / Crawford St,43.6532372,-79.4182957,0,0.712715528458251,1.47311574977852
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.334633600657813,Wellesley St / Queen's Park Cres,43.6635981,-79.3906219,0,0.531055534222273,1.50747663576579
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.594480391282877,Kendal Ave / Bernard Ave,43.671699,-79.4083388,0,0.790662191723991,1.46506259364497
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.746868259581712,Taddle Creek Park,43.6698599,-79.3984431,0,0.942970755393425,1.46126299081616
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.743996512519545,Yarmouth Rd / Christie St,43.67002,-79.4209268,0,0.940100260306085,1.46118776704947
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.716205411917934,Central Tech  (Harbord St),43.6639967,-79.4087556,0,0.9123217476691,1.46075130897607
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.0484779014632242,College St W / Major St,43.6549406,-79.4168398,0,0.245752303466542,1.60236387563988
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,0.913464727360542,Madison Ave / Bloor St W,43.667158,-79.402761,0,0.718313761480209,2.18177120511217
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.576138264885814,Ossington Ave / Bloor St W,43.6619827,-79.4256242,0,0.772331707837524,1.4665872894976
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,0.657601327821709,University Ave / Elm St,43.656518,-79.389099,0,0.462749146601749,1.99906885605422
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.795502685634531,Castle Frank Station,43.6736049,-79.3688194,0,0.991584987806337,1.46339248033002
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.716205411917934,Central Tech  (Harbord St),43.6619996,-79.4088813,0,0.9123217476691,1.46075130897607
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,0.11011664596997,College St W / Huron St,43.6515678,-79.4101974,0,0.0899926765051904,1.67381238156264
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.313512364200589,Ted Rogers Way / Bloor St E,43.6716033,-79.3805398,0,0.509964540770395,1.5128344919239
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.773177168151237,Yonge St / Aylmer Ave,43.6755882,-79.3889658,0,0.969268483132703,1.46221449586814
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,1.17470107301569,St George St / Bloor St W,43.667333,-79.399429,0,0.979406069102044,2.38224697638308
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.508420616419888,Bloor St W / Christie St,43.6635591,-79.4184063,0,0.704662372371147,1.47418059774498
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,1.14061065627771,Queens Park / Bloor St W,43.668327,-79.39355,0,0.945329952982104,2.35540990346163
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.0342118031543972,Elizabeth St / Edward St (Bus Terminal),43.6560524,-79.3846762,0,0.23158375591866,1.60828076699137
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,1.56766723552247,Willcocks St / St George St,43.662237,-79.397716,0,1.37225880088101,2.70343026783429
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,0.470196672764845,Spadina Ave / Sussex Ave,43.664137,-79.402496,0,0.275914834191732,1.87613243891369
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,1.1473731574241,Edward St / Yonge St,43.656729,-79.382736,0,0.952089542809611,2.36071866429179
11,-0.338424527776138,0.851744535233156,-1.14429430936104,6.656287636,-0.702217224615123,Harbord St / Clinton St,43.6602673,-79.4158311,0,0.898340172024849,1.46073163163304
12,3.00261912922479,-2.77266907410039,-0.73172788525675,5.788103345,-0.757058329802302,Christie St / Benson Ave (Wychwood Barns),43.6799824,-79.4240684,1,3.44745923006218,1.88098236684163
12,3.00261912922479,-2.77266907410039,-0.73172788525675,5.788103345,-0.812825805009536,Davenport Rd / Christie St,43.6755784,-79.4230446,1,3.46328601439683,1.88328714633171
12,3.00261912922479,-2.77266907410039,-0.73172788525675,5.788103345,-0.778086929257522,Bridgeman Ave / Kendal Ave,43.6754816,-79.4098212,1,3.45332988230719,1.88165767213393
12,3.00261912922479,-2.77266907410039,-0.73172788525675,5.788103345,-0.837930432552991,Bridgeman Ave / Bathurst St,43.6743307,-79.4148223,1,3.47067964125569,1.88486240862434
12,3.00261912922479,-2.77266907410039,-0.73172788525675,5.788103345,-0.836170329514889,Davenport Rd / Bathurst St,43.6766965,-79.4157557,1,3.47015585581918,1.88474110699738
12,3.00261912922479,-2.77266907410039,-0.73172788525675,5.788103345,-0.728155585176627,Glen Edyth Dr / Davenport Rd,43.6781484,-79.4048738,1,3.43958375817745,1.88043756451488
12,3.00261912922479,-2.77266907410039,-0.73172788525675,5.788103345,-0.67146173994934,Macpherson Ave / Spadina Rd,43.6758521,-79.4074745,1,3.42479163801939,1.88065908216936
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,0.688356812487492,51 Parliament St,43.65205,-79.362198,0,0.497192862069104,1.9527472168515
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,0.174684636367713,161 Bleecker St (South of Wellesley),43.6665988,-79.3732174,0,0.0701606238088383,1.62585611283737
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,-0.337134799711958,Church St  / Wood St,43.6628044,-79.3797312,0,0.537014588501227,1.41516089908701
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,-0.70888708875951,Sumach St / Carlton St (Riverdale Farm),43.6671213,-79.3611251,0,0.907051805713546,1.36593093833536
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,1.39647405581654,Bay St / St Joseph St,43.665527,-79.387499,0,1.20264741438446,2.50819173781937
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,-0.562983810601052,Jarvis St / Dundas St E,43.6570469,-79.3745394,0,0.761622528439966,1.37351741582812
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,2.44373536348726,Bay St / Albert St,43.653264,-79.382458,0,2.24904072949297,3.43422237892392
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,-0.800412446740816,Parliament St / Bloor St E,43.6720333,-79.370728,0,0.998350436356741,1.36910956982062
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,-0.623753683916574,Front St E / Cherry St,43.6526324,-79.3580917,0,0.822174544982288,1.36847373463391
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,0.606002517704718,Jarvis St / Carlton St,43.66207,-79.37617,0,0.415736320147577,1.89476934309173
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,-0.717594966948015,Mill St / Tannery Rd,43.652154,-79.3543446,0,0.915736165163789,1.36596972718055
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,3.11516835402218,Dundas St / Yonge St,43.656094,-79.381484,0,2.92024459689381,4.05905541341566
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,0.800262310909979,Jarvis St / Isabella St,43.669192,-79.379128,0,0.608266065288946,2.03422613926689
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,-0.567800934705331,Seaton St / Dundas St E,43.6586458,-79.3694957,0,0.766421130464704,1.37302013818394
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,-0.737975107389196,Queen St E / Berkely St,43.655317,-79.3657508,0,0.936062962533778,1.36627746885385
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,-0.730934695236788,Gerrard St E / River St,43.6636944,-79.3592313,0,0.929040684560385,1.36613679258539
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,-0.293595408769434,Dundonald St / Church St,43.6667003,-79.3813459,0,0.4938446152224,1.42716400486211
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,-0.420322827512781,King St E / River St,43.656868,-79.3561681,0,0.61964055836854,1.39572127322532
13,-0.243631140135278,-0.50107566688048,-0.345018653446484,10.18606118,-0.458489272338994,Cherry St / Mill St,43.6513499,-79.3573594,0,0.657596509870055,1.38838024861767
